date,game_id,home,away,competition,time,status,score,vote_home,vote_draw,vote_away,vote_count,pop_rank_home,pop_rank_away,pop_rank_diff,trend_home_w,trend_home_d,trend_home_l,trend_away_w,trend_away_d,trend_away_l,trend_win_rate_home,trend_win_rate_away,trend_win_rate_diff,venue,attendance,goals_home,goals_away,yellow_home,yellow_away,red_home,red_away,fifa_rank_home,fifa_rank_away,fifa_rank_diff
2026-06-05,4668230,Canada (W),USA (W),Volleyball Nations League (W),05-06-2026 00:00,finished,3:0,29.1,0.6,70.3,165,31,64,33,1,0,1,0,1,1,0.5,0.0,0.5,Videotron Centre,3646,0,0,0,0,0,0,,,
2026-06-05,4677435,San Antonio,Independiente Juniors,Serie B,05-06-2026 00:00,finished,0:0,24.9,22.0,53.1,819,9,59,50,2,0,1,2,0,2,0.6667,0.5,0.1667,,,0,0,0,0,0,0,,,
2026-06-05,4688952,Leones De Ponce,Capitanes De Arecibo,BSN,05-06-2026 00:00,finished,101:92,35.0,2.5,62.5,40,1,3,2,1,1,0,0,0,0,0.5,,,,,0,0,0,0,0,0,,,
2026-06-05,4691645,Osos de Manati,Criollos de Caguas,BSN,05-06-2026 00:00,finished,98:89,27.1,2.1,70.8,48,0,0,,1,0,0,0,1,1,1.0,0.0,1.0,,,0,0,0,0,0,0,,,
2026-06-05,4712155,Czechia,Guatemala,Friendly International,05-06-2026 00:00,finished,3:1,68.5,13.7,17.9,7966,3015,451,-2564,1,1,3,0,0,0,0.2,,,Sports Illustrated Stadium,,3,1,0,1,0,0,,,
2026-06-05,4728251,Carolina Hurricanes,Vegas Golden Knights,NHL,05-06-2026 00:00,finished,4:3,63.0,0.2,36.8,638,57,52,-5,1,0,1,0,1,1,0.5,0.0,0.5,Lenovo Center,,4,3,0,0,4,4,,,
2026-06-05,4728948,River Plate,Union Vecinal De Munro,Liga Federal,05-06-2026 00:00,finished,85:73,72.0,4.0,24.0,25,1,0,,1,1,0,0,0,1,0.5,0.0,0.5,,,0,0,0,0,0,0,,,
2026-06-05,4728950,Club Social Y Deportivo Presidente Derqui,Deportivo Moron,Liga Federal,05-06-2026 00:00,finished,90:78,50.0,10.0,40.0,10,0,0,,1,1,1,0,0,0,0.3333,,,,,0,0,0,0,0,0,,,
2026-06-05,4728951,Club Atlético San Antonio De Padua,Gimnasia Y Esgrima De Ituzaingo,Liga Federal,05-06-2026 00:00,finished,82:78,27.3,9.1,63.6,11,0,0,,1,1,0,0,0,0,0.5,,,,,0,0,0,0,0,0,,,
2026-06-05,4728952,Club 9 de Julio Salta,Belgrano De Tucuman,Liga Federal,05-06-2026 00:00,finished,69:77,40.0,20.0,40.0,5,0,0,,0,0,0,1,1,1,,0.3333,,,,0,0,0,0,0,0,,,
2026-06-05,4728953,Club Red Star de Catamarca,Concepción BB,Liga Federal,05-06-2026 00:00,finished,103:91,37.5,12.5,50.0,8,0,0,,1,0,0,0,1,0,1.0,0.0,1.0,,,0,0,0,0,0,0,,,
2026-06-05,4728954,Estudiantes Olavarría,Independiente De General Pico,Liga Federal,05-06-2026 00:00,finished,87:92,28.6,14.3,57.1,7,0,0,,0,0,1,1,0,0,0.0,1.0,-1.0,,,0,0,0,0,0,0,,,
2026-06-05,4729028,Tecos de los Dos Laredos,Rieleros de Aguascalientes,LMB,05-06-2026 00:00,finished,6:3,53.7,1.2,45.1,82,6,15,9,1,1,0,0,0,1,0.5,0.0,0.5,,,0,0,0,0,0,0,,,
2026-06-05,4729040,Olmecas de Tabasco,Pericos de Puebla,LMB,05-06-2026 00:00,finished,1:5,65.7,0.9,33.3,108,14,40,26,1,0,0,0,1,1,1.0,0.0,1.0,,,0,0,0,0,0,0,,,
2026-06-05,4731259,Ferro Carril Oeste (W),Vicente Lopez (W),Liga de Honor Oro Women,05-06-2026 00:00,finished,30:34,33.3,16.7,50.0,6,0,0,,0,1,1,1,1,0,0.0,0.5,-0.5,,,0,0,0,0,0,0,,,
2026-06-05,4555649,Chicago Cubs,Athletics,MLB,05-06-2026 00:05,finished,7:6,67.9,0.1,32.0,1317,415,171,-244,1,0,0,0,1,1,1.0,0.0,1.0,Wrigley Field,,6,5,0,0,0,0,,,
2026-06-05,4555893,Houston Astros,Pittsburgh Pirates,MLB,05-06-2026 00:10,finished,1:5,64.6,0.1,35.3,1314,340,186,-154,0,1,0,1,0,1,0.0,0.5,-0.5,Daikin Park,,1,4,0,0,0,0,,,
2026-06-05,4697654,Gimnasia Esgrima Ituzaingo (W),Sholem (W),Superiores Primera (W),05-06-2026 00:30,finished,1:3,82.4,5.9,11.8,17,0,0,,0,0,1,1,1,0,0.0,0.5,-0.5,,,0,0,0,0,0,0,,,
2026-06-05,4700592,La Patriada Voley (W),Club San Fernando (W),Superiores Segunda (W),05-06-2026 00:30,finished,1:3,50.0,10.0,40.0,10,0,0,,0,1,1,1,1,0,0.0,0.5,-0.5,,,0,0,0,0,0,0,,,
2026-06-05,4727797,Atlético Puerto Varas,CD Español Osorno,LNB,05-06-2026 00:30,finished,87:83,51.3,2.6,46.2,39,2,2,0,1,1,0,0,0,1,0.5,0.0,0.5,,,0,0,0,0,0,0,,,
2026-06-05,4728956,Asociación Mitre De Tucumán,Talleres de Tafi Viejo,Liga Federal,05-06-2026 00:30,finished,66:77,12.5,12.5,75.0,8,0,0,,0,0,0,1,0,1,,0.5,,,,0,0,0,0,0,0,,,
2026-06-05,4728957,Independiente De Tandil,Racing de Olavarria,Liga Federal,05-06-2026 00:30,finished,58:61,28.6,14.3,57.1,7,0,0,,0,1,0,1,1,1,0.0,0.3333,-0.3333,,,0,0,0,0,0,0,,,
2026-06-05,4729025,Tigres de Quintana Roo,Guerreros de Oaxaca,LMB,05-06-2026 00:30,finished,7:3,24.6,0.7,74.6,134,34,16,-18,1,1,1,0,0,0,0.3333,,,,,0,0,0,0,0,0,,,
2026-06-05,4728955,Montmartre,El Carmen Básquet,Liga Federal,05-06-2026 00:31,finished,55:60,50.0,12.5,37.5,8,0,0,,0,1,0,1,1,1,0.0,0.3333,-0.3333,,,0,0,0,0,0,0,,,
2026-06-05,4726934,Escuela Manuel Dorrego,San Fernando Handball,Liga de Honor Oro,05-06-2026 00:45,finished,22:29,70.0,20.0,10.0,10,0,0,,0,1,2,1,1,1,0.0,0.3333,-0.3333,,,0,0,0,0,0,0,,,
2026-06-05,4659696,Minnesota Lynx,Golden State Valkyries,WNBA,05-06-2026 01:00,finished,87:84,77.8,0.4,21.8,252,63,4,-59,1,1,1,0,1,0,0.3333,0.0,0.3333,Target Center,9105,0,0,0,0,0,0,,,
2026-06-05,4729031,Diablos Rojos del México,Bravos de León,LMB,05-06-2026 01:00,finished,18:12,77.5,0.5,22.1,204,34,8,-26,1,0,0,0,1,1,1.0,0.0,1.0,,,0,0,0,0,0,0,,,
2026-06-05,4729037,Caliente de Durango,Dorados de Chihuahua,LMB,05-06-2026 01:10,finished,3:4,77.6,1.0,21.4,98,7,6,-1,0,0,1,1,1,0,0.0,0.5,-0.5,,,0,0,0,0,0,0,,,
2026-06-05,4728992,Santa Tecla IMDELS,Cojute,Liga Mayor,05-06-2026 01:15,finished,103:86,41.2,5.9,52.9,17,0,0,,1,1,0,0,1,1,0.5,0.0,0.5,,,0,0,0,0,0,0,,,
2026-06-05,4729044,Leones de Yucatán,Conspiradores de Querétaro,LMB,05-06-2026 01:30,finished,4:7,62.3,1.6,36.1,61,28,2,-26,0,0,1,1,1,0,0.0,0.5,-0.5,,,0,0,0,0,0,0,,,
2026-06-05,4729047,Saraperos de Saltillo,Sultanes de Monterrey,LMB,05-06-2026 01:30,finished,,25.7,0.9,73.5,113,31,55,24,0,0,0,1,1,0,,0.5,,,,0,0,0,0,0,0,,,
2026-06-05,4556253,Arizona Diamondbacks,Los Angeles Dodgers,MLB,05-06-2026 01:40,finished,3:2,18.9,0.1,81.1,1791,192,754,562,1,0,0,0,1,1,1.0,0.0,1.0,Chase Field,,3,2,0,0,0,0,,,
2026-06-05,4674734,Mexico,Serbia,Friendly International,05-06-2026 02:00,finished,5:1,66.9,12.2,20.9,14148,8158,3746,-4412,1,1,1,0,0,1,0.3333,0.0,0.3333,Estadio Nemesio Díez,,5,1,2,2,0,0,,,
2026-06-05,4731347,Olmecas de Tabasco,Pericos de Puebla,LMB,05-06-2026 02:30,finished,5:2,33.3,33.3,33.3,3,14,40,26,1,0,0,0,1,1,1.0,0.0,1.0,,,0,0,0,0,0,0,,,
2026-06-05,4729068,Toros de Tijuana,Charros de Jalisco,LMB,05-06-2026 02:35,finished,5:4,63.1,0.8,36.1,122,20,47,27,1,0,1,0,1,0,0.5,0.0,0.5,,,0,0,0,0,0,0,,,
2026-06-05,4668252,Belgium (W),Czechia (W),Volleyball Nations League (W),05-06-2026 07:00,finished,0:3,67.9,0.9,31.1,106,47,31,-16,0,0,0,1,0,1,,0.5,,Nanjing Olympic Sports Center Gymnasium,,0,0,0,0,0,0,,,
2026-06-05,4731340,Southern Stampede,Botany Swarm,NZIHL,05-06-2026 07:00,finished,10:2,63.6,9.1,27.3,11,0,0,,1,1,1,0,0,1,0.3333,0.0,0.3333,,,0,0,0,0,0,0,,,
2026-06-05,4638527,Otago Nuggets,Franklin Bulls,NBL,05-06-2026 07:30,finished,93:94,58.7,1.3,40.0,75,0,0,,0,0,1,1,0,1,0.0,0.5,-0.5,,,0,0,0,0,0,0,,,
2026-06-05,4731597,Melbourne Storm,Newcastle Knights,NRL,05-06-2026 08:00,finished,32:30,33.3,33.3,33.3,3,14,5,-9,1,,,0,,,,,,,,0,0,0,0,0,0,,,
2026-06-05,4730086,Arda Azkara,Khololwam Montsi,Centurion,05-06-2026 08:10,finished,0:2,69.2,3.8,26.9,26,0,0,,0,1,1,1,1,1,0.0,0.3333,-0.3333,,,0,0,0,0,0,0,,,
2026-06-05,4731244,Alexander Donski,Tuncay Duran,Centurion,05-06-2026 08:14,finished,2:1,66.7,4.8,28.6,21,0,0,,1,1,1,0,1,1,0.3333,0.0,0.3333,,,0,0,0,0,0,0,,,
2026-06-05,4626743,Yokohama Baystars,Fukuoka Hawks,NPB,05-06-2026 09:00,finished,8:3,25.5,2.0,72.5,51,6,6,0,1,1,0,0,1,1,0.5,0.0,0.5,,,0,0,0,0,0,0,,,
2026-06-05,4626747,Yakult Swallows,Nippon Ham Fighters,NPB,05-06-2026 09:00,finished,1:3,51.4,2.7,45.9,37,8,11,3,0,0,1,1,1,0,0.0,0.5,-0.5,,,0,0,0,0,0,0,,,
2026-06-05,4626750,Yomiuri Giants,Chiba Lotte Marines,NPB,05-06-2026 09:00,finished,8:2,59.0,2.6,38.5,39,14,5,-9,1,1,1,0,1,0,0.3333,0.0,0.3333,,,0,0,0,0,0,0,,,
