date,game_id,home,away,competition,time,status,score,vote_home,vote_draw,vote_away,vote_count,pop_rank_home,pop_rank_away,pop_rank_diff,trend_home_w,trend_home_d,trend_home_l,trend_away_w,trend_away_d,trend_away_l,trend_win_rate_home,trend_win_rate_away,trend_win_rate_diff,venue,attendance,goals_home,goals_away,yellow_home,yellow_away,red_home,red_away,has_lineups,lineups_status_text,has_doubtful,has_missing_players,has_statistics,has_news,has_buzz,social_comments,fifa_rank_home,fifa_rank_away,fifa_rank_diff
2026-06-07,4659259,Colorado Rapids II,St. Louis City II,MLS Next Pro,07-06-2026 00:00,finished,1:1,29.1,24.5,46.4,110,3,1,-2,4,0,0,3,1,4,1.0,0.375,0.625,,,0,0,0,0,0,0,True,Lineups,False,False,True,False,False,0,,,
2026-06-07,4659703,New York Liberty,Indiana Fever,WNBA,07-06-2026 00:00,finished,83:75,57.6,0.5,41.9,217,70,32,-38,1,1,1,0,1,0,0.3333,0.0,0.3333,Barclays Center,16306,0,0,0,0,0,0,True,Box Score,True,True,True,True,True,0,,,
2026-06-07,4668284,Germany (W),Japan (W),Volleyball Nations League (W),07-06-2026 00:00,finished,0:3,40.1,0.5,59.4,192,49,105,56,0,0,1,1,1,1,0.0,0.3333,-0.3333,Videotron Centre,,0,0,0,0,0,0,True,Box Score,False,False,True,False,False,0,,,
2026-06-07,4688953,Leones De Ponce,Santeros de Aguada,BSN,07-06-2026 00:00,finished,98:91,60.7,3.6,35.7,28,1,0,,1,1,1,0,0,0,0.3333,,,,,0,0,0,0,0,0,True,Box Score,False,False,True,False,False,0,,,
2026-06-07,4691648,Osos de Manati,Cangrejeros,BSN,07-06-2026 00:00,finished,95:93,32.4,2.9,64.7,34,0,0,,1,1,0,0,0,1,0.5,0.0,0.5,,,0,0,0,0,0,0,True,Box Score,False,False,True,False,False,0,,,
2026-06-07,4691649,Guaynabo Mets,Vaqueros De Bayamon,BSN,07-06-2026 00:00,finished,91:103,35.7,3.6,60.7,28,0,2,,0,0,1,1,0,1,0.0,0.5,-0.5,,,0,0,0,0,0,0,True,Box Score,False,False,True,False,False,0,,,
2026-06-07,4705660,Lomas Voley,Vélez Sarsfield,Division de Honor,07-06-2026 00:00,finished,1:3,70.0,10.0,20.0,10,0,0,,0,0,1,1,0,1,0.0,0.5,-0.5,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,,
2026-06-07,4705661,Boca Juniors,UNTREF,Division de Honor,07-06-2026 00:00,finished,3:2,72.7,9.1,18.2,11,19,0,,1,0,0,0,0,0,1.0,,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,,
2026-06-07,4710299,Argentina,Honduras,Friendly International,07-06-2026 00:00,finished,2:0,86.7,6.7,6.6,38471,28165,1125,-27040,1,1,1,0,2,2,0.3333,0.0,0.3333,Kyle Field,,2,0,4,1,0,0,True,Lineups,False,True,True,True,True,0,,,
2026-06-07,4711319,Argentina,Bulgaria,Friendly International,07-06-2026 00:00,finished,1:3,84.9,0.4,14.7,232,305,115,-190,0,0,1,1,0,1,0.0,0.5,-0.5,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,,
2026-06-07,4712157,Curacao,Aruba,Friendly International,07-06-2026 00:00,finished,4:0,63.3,14.1,22.6,3984,203,120,-83,1,0,0,0,1,1,1.0,0.0,1.0,Stadion Ergilio Hato,,4,0,2,1,0,0,True,Lineups,False,False,True,False,False,0,,,
2026-06-07,4728252,Vegas Golden Knights,Carolina Hurricanes,NHL,07-06-2026 00:00,finished,5:4,58.6,0.2,41.2,478,52,57,5,1,0,1,0,1,0,0.5,0.0,0.5,T-Mobile Arena,,5,4,0,0,2,3,True,Box Score,False,True,True,True,True,0,,,
2026-06-07,4728332,Ca Marne,Larre Borges,Liga de ascenso,07-06-2026 00:00,finished,71:91,39.3,3.6,57.1,28,0,6,,0,0,1,1,0,1,0.0,0.5,-0.5,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,,
2026-06-07,4728971,Petrolero Argentino,Club Perfora de Neuquen,Liga Federal,07-06-2026 00:00,finished,60:77,28.6,14.3,57.1,7,0,0,,0,0,0,1,1,1,,0.3333,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,,
2026-06-07,4728972,Club Atlético Regina,Centro Espanol Plottier,Liga Federal,07-06-2026 00:00,finished,47:76,25.0,25.0,50.0,4,0,0,,0,1,0,1,1,0,0.0,0.5,-0.5,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,,
2026-06-07,4728973,San Martín (Marcos Juárez),Club Gimnasia y Esgrima de Rosario,Liga Federal,07-06-2026 00:00,finished,69:61,40.0,20.0,40.0,5,0,0,,1,0,0,0,1,1,1.0,0.0,1.0,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,,
2026-06-07,4729752,Rentistas,Colon,Segunda Division,07-06-2026 00:00,finished,0:2,51.6,27.9,20.5,244,146,4,-142,0,2,0,1,0,0,0.0,1.0,-1.0,,,0,0,0,0,0,0,False,,False,False,True,False,False,0,,,
2026-06-07,4729920,CD Huachipato,Truenos De Talca,LNB 2,07-06-2026 00:00,finished,84:78,33.3,33.3,33.3,3,0,0,,1,0,1,0,0,1,0.5,0.0,0.5,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,,
2026-06-07,4729921,Illapel,Sergio Ceppi,LNB 2,07-06-2026 00:00,finished,86:79,33.3,33.3,33.3,3,0,0,,1,0,1,0,1,0,0.5,0.0,0.5,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,,
2026-06-07,4732831,Tigres de Quintana Roo,Conspiradores de Querétaro,LMB,07-06-2026 00:00,finished,3:2,54.8,2.4,42.9,42,34,2,-32,1,0,1,0,1,1,0.5,0.0,0.5,,,0,0,0,0,0,0,False,,False,False,False,False,True,0,,,
2026-06-07,4732833,Rieleros de Aguascalientes,Charros de Jalisco,LMB,07-06-2026 00:00,finished,1:8,27.3,2.3,70.5,44,15,47,32,0,0,0,1,1,0,,0.5,,,,0,0,0,0,0,0,False,,False,False,False,False,True,0,,,
2026-06-07,4732834,Saraperos de Saltillo,Dorados de Chihuahua,LMB,07-06-2026 00:00,finished,2:4,49.0,2.0,49.0,49,31,6,-25,0,0,0,1,1,1,,0.3333,,,,0,0,0,0,0,0,False,,False,False,False,False,True,0,,,
2026-06-07,4732835,Bravos de León,Pericos de Puebla,LMB,07-06-2026 00:00,finished,8:2,55.3,2.1,42.6,47,8,40,32,1,1,0,0,0,0,0.5,,,,,0,0,0,0,0,0,False,,False,False,False,False,True,0,,,
2026-06-07,4732836,Piratas de Campeche,Leones de Yucatán,LMB,07-06-2026 00:15,finished,6:4,60.7,3.6,35.7,28,14,28,14,1,1,0,0,0,0,0.5,,,,,0,0,0,0,0,0,False,,False,False,False,False,True,0,,,
2026-06-07,4656662,Rangers De Talca,Deportes Santa Cruz,First Division B,07-06-2026 00:30,finished,0:1,52.8,20.9,26.3,636,174,57,-117,0,0,0,1,2,2,,0.2,,,,0,0,0,0,0,0,True,Lineups,False,False,True,False,False,0,,,
2026-06-07,4656664,Deportes Iquique,Deportes Recoleta,First Division B,07-06-2026 00:30,finished,1:1,56.2,23.3,20.5,576,550,29,-521,2,0,2,2,2,2,0.5,0.3333,0.1667,,,0,0,0,0,0,0,True,Lineups,False,False,True,False,False,0,,,
2026-06-07,4678851,FC Western,Wellington Phoenix II,National League,07-06-2026 00:30,finished,2:1,35.0,30.0,35.0,40,0,3,,1,0,0,0,0,1,1.0,0.0,1.0,,,0,0,0,0,0,0,False,,False,False,True,False,False,0,,,
2026-06-07,4727798,Leones De Quilpué,Universidad De Concepcion,LNB,07-06-2026 00:30,finished,83:78,37.0,3.7,59.3,27,10,13,3,1,0,1,0,1,0,0.5,0.0,0.5,,,0,0,0,0,0,0,True,Box Score,False,False,True,False,False,0,,,
2026-06-07,4728878,Academia Quintana,Puerto Rico Surf,LPR Pro,07-06-2026 00:30,finished,0:0,55.1,18.4,26.5,49,0,0,,3,1,1,4,0,1,0.6,0.8,-0.2,,,0,0,0,0,0,0,False,,False,False,True,False,False,0,,,
2026-06-07,4728974,CDyC Unión (Oncativo),Unión Central Villa María,Liga Federal,07-06-2026 00:30,finished,66:74,40.0,20.0,40.0,5,0,0,,0,0,1,1,0,1,0.0,0.5,-0.5,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,,
2026-06-07,4728975,Urquiza (San Juan),Sparta,Liga Federal,07-06-2026 00:30,finished,83:79,33.3,16.7,50.0,6,0,0,,1,1,0,0,0,1,0.5,0.0,0.5,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,,
2026-06-07,4732837,Algodoneros del Unión Laguna,Caliente de Durango,LMB,07-06-2026 00:30,finished,12:5,43.6,2.6,53.8,39,20,7,-13,1,1,1,0,0,0,0.3333,,,,,0,0,0,0,0,0,False,,False,False,False,False,True,0,,,
2026-06-07,4733057,CD Humboldt,Arturo Prat San Felipe,LNB 2,07-06-2026 00:30,finished,69:65,33.3,33.3,33.3,3,0,0,,1,0,1,0,0,0,0.5,,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,,
2026-06-07,4683755,Vancouver Bandits,Saskatchewan Rattlers,CEBL,07-06-2026 01:00,finished,105:85,50.0,8.3,41.7,12,0,0,,1,0,1,0,1,1,0.5,0.0,0.5,,,0,0,0,0,0,0,True,Box Score,False,False,True,False,False,0,,,
2026-06-07,4711593,Puerto Rico (W),Cuba (W),NORCECA Final Four (W),07-06-2026 01:00,finished,3:1,30.8,7.7,61.5,13,30,9,-21,1,1,0,0,0,0,0.5,,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,,
2026-06-07,4726291,Vietnam (W),Hong Kong (W),AVC Women's Cup,07-06-2026 01:00,finished,3:0,72.7,9.1,18.2,11,6,1,-5,1,1,0,0,0,0,0.5,,,,,0,0,0,0,0,0,True,Box Score,False,False,True,False,False,0,,,
2026-06-07,4728976,Club Social Y Deportivo General Roca,Independiente Neuquén,Liga Federal,07-06-2026 01:00,finished,63:74,20.0,20.0,60.0,5,0,0,,0,0,0,1,0,1,,0.5,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,,
2026-06-07,4728994,Santiagueno,Santa Ana,Liga Mayor,07-06-2026 01:00,finished,78:71,50.0,8.3,41.7,12,0,0,,1,0,0,0,0,0,1.0,,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,,
2026-06-07,4554992,Colorado Rockies,Milwaukee Brewers,MLB,07-06-2026 01:10,finished,1:7,16.4,0.1,83.5,1175,163,187,24,0,0,0,1,1,0,,0.5,,Coors Field,,1,6,0,0,0,0,True,Box Score,False,False,False,True,True,0,,,
2026-06-07,4730069,Astros De Jalisco,Angeles Cdmx,CIBACOPA,07-06-2026 01:15,finished,99:87,66.7,5.6,27.8,18,5,0,,1,1,1,0,0,1,0.3333,0.0,0.3333,,,0,0,0,0,0,0,True,Box Score,False,False,True,False,False,0,,,
