date,game_id,home,away,competition,time,status,score,vote_home,vote_draw,vote_away,vote_count,pop_rank_home,pop_rank_away,pop_rank_diff,fifa_rank_home,fifa_rank_away,fifa_rank_diff,trend_home_w,trend_home_d,trend_home_l,trend_away_w,trend_away_d,trend_away_l,trend_win_rate_home,trend_win_rate_away,trend_win_rate_diff,venue,attendance,goals_home,goals_away,yellow_home,yellow_away,red_home,red_away,has_lineups,lineups_status_text,has_doubtful,has_missing_players,has_statistics,has_news,has_buzz,social_comments
2026-06-14,4650619,Nublense,Huachipato,First Division,14-06-2026 00:00,finished,2:2,46.6,24.2,29.2,1618,544,683,139,,,,2,1,1,2,1,0,0.5,0.6667,-0.1667,Estadio Bicentenario Municipal Nelson Oyarzún,,2,2,2,3,0,0,True,Lineups,False,True,True,False,True,0
2026-06-14,4691662,Santeros de Aguada,Guaynabo Mets,BSN,14-06-2026 00:00,finished,82:107,35.3,5.9,58.8,17,0,0,,,,,0,1,1,1,0,0,0.0,1.0,-1.0,,,0,0,0,0,0,0,True,Box Score,False,False,True,False,False,0
2026-06-14,4705666,Ciudad Vóley,Club Nautico Hacoaj,Division de Honor,14-06-2026 00:00,finished,3:0,63.6,9.1,27.3,11,20,0,,,,,1,1,1,0,0,0,0.3333,,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0
2026-06-14,4709515,Puerto Rico,Guatemala,NORCECA Final Four,14-06-2026 00:00,finished,3:0,71.4,7.1,21.4,14,61,8,-53,,,,1,0,1,0,1,0,0.5,0.0,0.5,,,0,0,0,0,0,0,False,,False,False,False,False,False,0
2026-06-14,4710809,Forward Madison,Boise,USL League One,14-06-2026 00:00,finished,5:1,15.4,53.8,30.8,26,2,0,,,,,1,0,1,0,1,2,0.5,0.0,0.5,,3393,0,0,0,0,0,0,True,Lineups,False,False,True,False,False,0
2026-06-14,4733408,Deportivo Plottier,Pacífico de Neuquen,Liga Federal,14-06-2026 00:00,finished,,40.0,20.0,40.0,5,0,0,,,,,0,0,0,1,1,1,,0.3333,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0
2026-06-14,4733409,Independiente Neuquén,Club Social Y Deportivo General Roca,Liga Federal,14-06-2026 00:00,finished,,40.0,20.0,40.0,5,0,0,,,,,1,1,0,0,0,0,0.5,,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0
2026-06-14,4733410,San Lorenzo Monte Caseros,Club Capri,Liga Federal,14-06-2026 00:00,finished,,40.0,20.0,40.0,5,0,0,,,,,0,1,1,1,1,1,0.0,0.3333,-0.3333,,,0,0,0,0,0,0,False,,False,False,False,False,False,0
2026-06-14,4733411,Bartolomé Mitre de Misiones,Don Bosco Resistencia,Liga Federal,14-06-2026 00:00,finished,,20.0,20.0,60.0,5,0,0,,,,,1,1,0,0,1,0,0.5,0.0,0.5,,,0,0,0,0,0,0,False,,False,False,False,False,False,0
2026-06-14,4733412,Hindú Club De Resistencia Chaco,Centro Cultural y Deportivo Santa Silvina,Liga Federal,14-06-2026 00:00,finished,,40.0,20.0,40.0,5,0,0,,,,,0,1,0,1,1,0,0.0,0.5,-0.5,,,0,0,0,0,0,0,False,,False,False,False,False,False,0
