date,home,away,home_en,away_en,handicap,tournament,p_home,p_draw,p_away,p_outcome,sp,result,ev,ft_h,ft_a,tier_weight,adjusted_ev_threshold,won,profit,month
2024-01-19,伊拉克,日本,Iraq,Japan,2,AFC Asian Cup,0.6790481717933836,0.0,0.32095182820661633,0.6790481717933836,12.0,3,7.1485780615206025,2,1,1.2,0.04166666666666667,True,11.0,2024-01
2024-01-20,约旦,韩国,Jordan,South Korea,2,AFC Asian Cup,0.30815207385392285,0.5302924699508167,0.16155545619526052,0.30815207385392285,5.0,1,0.5407603692696141,2,2,1.2,0.04166666666666667,False,-1.0,2024-01
2024-01-22,卡塔尔,中国,Qatar,China PR,-1,AFC Asian Cup,0.8951304014375594,0.06607689872429984,0.0387926998381408,0.8951304014375594,2.0,3,0.7902608028751188,1,0,1.2,0.04166666666666667,True,1.0,2024-01
2024-01-23,伊朗,阿联酋,Iran,United Arab Emirates,-1,AFC Asian Cup,0.9827586206896551,0.0,0.017241379310344827,0.9827586206896551,1.52,3,0.49379310344827587,2,1,1.2,0.04166666666666667,True,0.52,2024-01
2024-01-24,伊拉克,越南,Iraq,Vietnam,-1,AFC Asian Cup,1.0,0.0,0.0,1.0,1.53,3,0.53,3,2,1.2,0.04166666666666667,True,0.53,2024-01
2024-01-25,沙特阿拉伯,泰国,Saudi Arabia,Thailand,-1,AFC Asian Cup,0.3747806467786412,0.6252193532213588,0.0,0.3747806467786412,3.35,1,0.2555151667084481,0,0,1.2,0.04166666666666667,False,-1.0,2024-01
2024-01-27,尼日利亚,喀麦隆,Nigeria,Cameroon,-1,African Cup of Nations,0.8951304014375594,0.06607689872429984,0.0387926998381408,0.8951304014375594,1.84,3,0.6470399386451093,2,0,0.5,0.1,True,0.8400000000000001,2024-01
2024-01-30,乌兹别克斯坦,泰国,Uzbekistan,Thailand,-1,AFC Asian Cup,1.0,0.0,0.0,1.0,1.52,3,0.52,2,1,1.2,0.04166666666666667,True,0.52,2024-01
2024-02-03,伊朗,日本,Iran,Japan,1,AFC Asian Cup,0.5781663944214904,0.18218006616244115,0.2396535394160684,0.5781663944214904,4.6,3,1.6595654143388558,2,1,1.2,0.04166666666666667,True,3.5999999999999996,2024-02
2024-02-06,约旦,韩国,Jordan,South Korea,1,AFC Asian Cup,0.725435148792813,0.11454239191465468,0.16002245929253228,0.725435148792813,6.25,3,3.5339696799550815,2,0,1.2,0.04166666666666667,True,5.25,2024-02
2024-02-07,卡塔尔,伊朗,Qatar,Iran,1,AFC Asian Cup,0.46372491616543354,0.28743279927609516,0.2488422845584713,0.46372491616543354,5.1,3,1.3649970724437108,3,2,1.2,0.04166666666666667,True,4.1,2024-02
2024-03-21,威尔士,芬兰,Wales,Finland,-1,UEFA Euro qualification,0.8763246570977212,0.06468869286939542,0.05898665003288336,0.8763246570977212,1.67,3,0.4634621773531944,4,1,0.7,0.07142857142857144,True,0.6699999999999999,2024-03
2024-03-21,希腊,哈萨克斯坦,Greece,Kazakhstan,-1,UEFA Euro qualification,1.0,0.0,0.0,1.0,1.2,3,0.19999999999999996,5,0,0.7,0.07142857142857144,True,0.19999999999999996,2024-03
2024-03-21,格鲁吉亚,卢森堡,Georgia,Luxembourg,-1,UEFA Euro qualification,1.0,0.0,0.0,1.0,1.6,3,0.6000000000000001,2,0,0.7,0.07142857142857144,True,0.6000000000000001,2024-03
2024-03-21,印尼,越南,Indonesia,Vietnam,-1,FIFA World Cup qualification,0.8763246570977212,0.06468869286939542,0.05898665003288336,0.8763246570977212,2.2,3,0.9279142456149869,1,0,1.0,0.05,True,1.2000000000000002,2024-03
2024-03-26,乌克兰,冰岛,Ukraine,Iceland,-1,UEFA Euro qualification,0.8951304014375594,0.06607689872429984,0.0387926998381408,0.8951304014375594,1.4,3,0.25318256201258316,2,1,0.7,0.07142857142857144,True,0.3999999999999999,2024-03
2024-06-06,中国,泰国,China PR,Thailand,-1,FIFA World Cup qualification,0.34729555934294587,0.5976536768473113,0.055050763809742886,0.34729555934294587,3.45,1,0.19816967973316335,1,1,1.0,0.05,False,-1.0,2024-06
2024-06-11,伊拉克,越南,Iraq,Vietnam,-1,FIFA World Cup qualification,1.0,0.0,0.0,1.0,1.3,3,0.30000000000000004,3,1,1.0,0.05,True,0.30000000000000004,2024-06
2024-06-11,伊朗,乌兹别克斯坦,Iran,Uzbekistan,-1,FIFA World Cup qualification,0.33703172526831726,0.5799908590881153,0.08297741564356748,0.33703172526831726,3.3,1,0.11220469338544681,0,0,1.0,0.05,False,-1.0,2024-06
2024-06-11,卡塔尔,印度,Qatar,India,-1,FIFA World Cup qualification,1.0,0.0,0.0,1.0,1.38,3,0.3799999999999999,2,1,1.0,0.05,True,0.3799999999999999,2024-06
2024-06-14,德国,苏格兰,Germany,Scotland,-1,UEFA Euro,0.9827586206896551,0.0,0.017241379310344827,0.9827586206896551,1.17,3,0.1498275862068965,5,1,0.7,0.07142857142857144,True,0.16999999999999993,2024-06
2024-06-15,西班牙,克罗地亚,Spain,Croatia,-1,UEFA Euro,0.9827586206896551,0.0,0.017241379310344827,0.9827586206896551,1.71,3,0.6805172413793104,3,0,0.7,0.07142857142857144,True,0.71,2024-06
2024-06-17,比利时,斯洛伐克,Belgium,Slovakia,-1,UEFA Euro,0.4633438704369289,0.07961090137507235,0.4570452281879987,0.4633438704369289,6.7,0,2.1044039319274237,0,1,0.7,0.07142857142857144,False,-1.0,2024-06
2024-06-17,罗马尼亚,乌克兰,Romania,Ukraine,1,UEFA Euro,0.6436170591544482,0.2028035519728831,0.15357938887266875,0.6436170591544482,4.4,3,1.8319150602795724,3,0,0.7,0.07142857142857144,True,3.4000000000000004,2024-06
2024-06-18,葡萄牙,捷克,Portugal,Czech Republic,-1,UEFA Euro,1.0,0.0,0.0,1.0,1.32,3,0.32000000000000006,2,1,0.7,0.07142857142857144,True,0.32000000000000006,2024-06
2024-06-18,土耳其,格鲁吉亚,Turkey,Georgia,-1,UEFA Euro,0.8951304014375594,0.06607689872429984,0.0387926998381408,0.8951304014375594,1.48,3,0.324792994127588,3,1,0.7,0.07142857142857144,True,0.48,2024-06
2024-06-19,德国,匈牙利,Germany,Hungary,-1,UEFA Euro,0.9827586206896551,0.0,0.017241379310344827,0.9827586206896551,1.16,3,0.1399999999999999,2,0,0.7,0.07142857142857144,True,0.15999999999999992,2024-06
2024-06-20,阿根廷,加拿大,Argentina,Canada,-1,Copa América,1.0,0.0,0.0,1.0,1.16,3,0.15999999999999992,2,0,0.6,0.08333333333333334,True,0.15999999999999992,2024-06
2024-06-20,西班牙,意大利,Spain,Italy,-1,UEFA Euro,0.9964522930911881,0.0,0.003547706908811878,0.9964522930911881,1.95,3,0.9430819715278167,1,0,0.7,0.07142857142857144,True,0.95,2024-06
2024-06-22,墨西哥,牙买加,Mexico,Jamaica,-1,Copa América,1.0,0.0,0.0,1.0,1.39,3,0.3899999999999999,1,0,0.6,0.08333333333333334,True,0.3899999999999999,2024-06
2024-06-22,厄瓜多尔,委内瑞拉,Ecuador,Venezuela,-1,Copa América,0.27211503458318165,0.45394976337823084,0.27393520203858757,0.27211503458318165,4.25,0,0.15648889697852209,1,2,0.6,0.08333333333333334,False,-1.0,2024-06
2024-06-22,比利时,罗马尼亚,Belgium,Romania,-1,UEFA Euro,0.9827586206896551,0.0,0.017241379310344827,0.9827586206896551,1.34,3,0.316896551724138,2,0,0.7,0.07142857142857144,True,0.3400000000000001,2024-06
2024-06-22,格鲁吉亚,捷克,Georgia,Czech Republic,1,UEFA Euro,0.30815207385392285,0.5302924699508167,0.16155545619526052,0.30815207385392285,3.6,1,0.10934746587412225,1,1,0.7,0.07142857142857144,False,-1.0,2024-06
2024-06-23,乌拉圭,巴拿马,Uruguay,Panama,-1,Copa América,1.0,0.0,0.0,1.0,1.17,3,0.16999999999999993,3,1,0.6,0.08333333333333334,True,0.16999999999999993,2024-06
2024-06-23,美国,玻利维亚,United States,Bolivia,-2,Copa América,0.9827586206896551,0.0,0.017241379310344827,0.9827586206896551,1.11,3,0.0908620689655173,2,0,0.6,0.08333333333333334,True,0.1100000000000001,2024-06
2024-06-23,苏格兰,匈牙利,Scotland,Hungary,1,UEFA Euro,0.4825253664036077,0.07676539920057396,0.4407092343958184,0.4825253664036077,2.3,0,0.10980834272829765,0,1,0.7,0.07142857142857144,False,-1.0,2024-06
2024-06-23,德国,瑞士,Germany,Switzerland,-1,UEFA Euro,0.33703172526831726,0.5799908590881153,0.08297741564356748,0.33703172526831726,3.45,1,0.16275945217569454,1,1,0.7,0.07142857142857144,False,-1.0,2024-06
2024-06-24,哥伦比亚,巴拉圭,Colombia,Paraguay,-1,Copa América,0.9827586206896551,0.0,0.017241379310344827,0.9827586206896551,1.58,3,0.5527586206896551,2,1,0.6,0.08333333333333334,True,0.5800000000000001,2024-06
2024-06-25,丹麦,塞尔维亚,Denmark,Serbia,-1,UEFA Euro,0.34729555934294587,0.5976536768473113,0.055050763809742886,0.34729555934294587,3.15,1,0.09398101193027952,0,0,0.7,0.07142857142857144,False,-1.0,2024-06
2024-06-25,英格兰,斯洛文尼亚,England,Slovenia,-1,UEFA Euro,0.47730307076101464,0.5226969292389854,0.0,0.47730307076101464,5.15,1,1.4581108144192254,0,0,0.7,0.07142857142857144,False,-1.0,2024-06
2024-06-25,法国,波兰,France,Poland,-1,UEFA Euro,0.46816172859715177,0.5126862006875103,0.019152070715338025,0.46816172859715177,6.15,1,1.8791946308724836,1,1,0.7,0.07142857142857144,False,-1.0,2024-06
2024-06-26,委内瑞拉,墨西哥,Venezuela,Mexico,1,Copa América,0.6436170591544482,0.2028035519728831,0.15357938887266875,0.6436170591544482,3.86,3,1.48436184833617,1,0,0.6,0.08333333333333334,True,2.86,2024-06
2024-06-26,厄瓜多尔,牙买加,Ecuador,Jamaica,-1,Copa América,1.0,0.0,0.0,1.0,1.39,3,0.3899999999999999,3,1,0.6,0.08333333333333334,True,0.3899999999999999,2024-06
